ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_8,t_8,162.0,5.0,40,200.0,739.0
ic_8,t_9,158.0,4.75,40,190.0,771.0
ic_8,t_10,163.0,4.5,40,180.0,788.0
ic_8,t_11,159.0,4.25,40,170.0,799.0
ic_8,t_12,164.0,4.0,40,160.0,795.0
ic_8,t_13,160.0,4.0,40,160.0,795.0
ic_8,t_14,144.0,4.25,40,170.0,821.0
ic_8,t_15,152.0,4.5,40,180.0,849.0
ic_8,t_16,168.0,4.75,40,190.0,871.0
ic_8,t_17,185.0,4.5,40,180.0,866.0
ic_8,t_18,176.0,4.25,40,170.0,860.0
ic_8,t_19,185.0,4.25,40,170.0,845.0
ic_8,t_20,176.0,4.0,40,160.0,829.0
ic_8,t_21,185.0,4.25,40,170.0,814.0
ic_8,t_22,176.0,4.0,40,160.0,798.0
ic_8,t_23,185.0,4.25,40,170.0,783.0
ic_8,t_24,176.0,4.0,40,160.0,767.0
ic_8,t_25,175.0,3.75,40,150.0,742.0
ic_8,t_26,174.0,3.5,40,140.0,708.0
ic_8,t_27,173.0,3.25,40,130.0,665.0
ic_8,t_28,172.0,3.5,40,140.0,633.0
ic_8,t_29,171.0,3.5,40,140.0,602.0
ic_8,t_30,170.0,3.5,40,140.0,572.0
ic_8,t_31,169.0,3.75,40,150.0,553.0
ic_8,t_32,171.0,4.0,40,160.0,542.0
ic_8,t_33,171.0,4.25,40,170.0,541.0
ic_8,t_34,171.0,4.25,40,170.0,540.0
ic_8,t_35,171.0,4.5,40,180.0,549.0
ic_8,t_36,171.0,4.25,40,170.0,548.0
ic_8,t_37,169.0,4.0,40,160.0,539.0
ic_8,t_38,172.0,4.25,40,170.0,537.0
ic_8,t_39,170.0,4.25,40,170.0,537.0
ic_8,t_40,168.0,4.0,40,160.0,529.0
ic_8,t_41,171.0,4.25,40,170.0,528.0
ic_8,t_42,169.0,4.0,40,160.0,519.0
ic_8,t_43,172.0,4.25,40,170.0,517.0
ic_8,t_44,170.0,4.0,40,160.0,507.0
ic_8,t_45,168.0,4.0,40,160.0,499.0
ic_8,t_46,171.0,4.25,40,170.0,498.0
ic_8,t_47,169.0,4.0,40,160.0,489.0
ic_8,t_48,172.0,4.25,40,170.0,487.0
